搜尋詞,tf-idf,semantic_model
溶解滑鼠,"YANGJISA 名片持有人的名片編號3 113 x 181毫米20p, 一層, 黑色的","FLYDIGI 飛智 WEE2T鍵盤滑鼠轉換器, 單品, 1個"
溶解滑鼠,.,"PHILIPS 飛利浦 SPK9404 遊戲鼠標 G404, 混色"
溶解滑鼠,.,"ESENSE 逸盛 M360BK RGB 發光滑鼠, 12-EOM360BK, 1個"
溶解滑鼠,.,"NS_超強力油脂溶解劑(九月), 1入"
溶解滑鼠,.,"NS_飛利浦無線滑鼠, 1入"
溶解滑鼠,.,"DRAKAN 電競滑鼠, 混合顏色, DGM-1"
溶解滑鼠,.,"鱷魚 防治家鼠劑 200g, 12盒"
溶解滑鼠,.,"鱷魚 防治家鼠劑 200g, 16盒"
溶解滑鼠,.,"鱷魚 防治家鼠劑 200g, 20盒"
溶解滑鼠,.,"鱷魚 防治家鼠劑 200g, 8盒"
自帶杓耐高溫玻璃密封不銹鋼調味罐,La Redoute Hexa 印花枕頭套 F686883,"密封調味罐, 1份"
自帶杓耐高溫玻璃密封不銹鋼調味罐,"DGG 智慧手錶強化玻璃螢幕保護膜 4入裝, 透明","NHB 不鏽鋼玻璃旋蓋式調味罐 曲線款, 1份"
自帶杓耐高溫玻璃密封不銹鋼調味罐,"祛痘淨膚沐浴露, 1個, 500ml","黑色附湯匙一體式調味料罐, 4入, 調味料罐 4入+收納盒"
自帶杓耐高溫玻璃密封不銹鋼調味罐,"kizakura 一擲水下手鍊 2.0, 混色, 1個","FOX RUN 不銹鋼調味料罐 9.5cm, 1個"
自帶杓耐高溫玻璃密封不銹鋼調味罐,"VENTION 威迅 3.5mm 立體聲轉 2 RCA 音頻線, 單品","湯匙式調味料罐, 2入, 單品"
自帶杓耐高溫玻璃密封不銹鋼調味罐,"WONDER WHEELS 蝙蝠熱裝載機簡單拖拉機和拖車玩具, 混色","透明調味罐, 5個, 調味罐 5入+調味罐貼紙"
自帶杓耐高溫玻璃密封不銹鋼調味罐,"Sullivans HOME BEGINS HERE 雪人吊飾 4件組, 混色","透明圓形調味罐組 350ml, 1組, 調料罐 4入+白色蓋 4入+貼紙 4入(粗鹽+芝麻+MSG+巴西利)"
自帶杓耐高溫玻璃密封不銹鋼調味罐,"Estella Self Wedding H1367 奢華社交頭飾 EST172, 金綠色, 1個","LKmade 滑翔翼印花瓷質密封調味料罐 4入, 1組"
自帶杓耐高溫玻璃密封不銹鋼調味罐,"TRAMONTINA 澆花灑水器 7L 紅色, 1個","LKmade 陶瓷密封調味料罐, 2入"
自帶杓耐高溫玻璃密封不銹鋼調味罐,pudding underwear 女童棉質抽繩 3 件套,不鏽鋼糖霜調味罐
視訊鏡頭,"雛菊數位氣球套裝, 一, 4組","FHD ProCAM視訊鏡頭, PROCAM01"
視訊鏡頭,"大理石珪藻土, 王冠","PENGCA 4百萬像素網路視訊鏡頭, PCWEB400"
視訊鏡頭,Misopapa 女童小夜曲小花朵刺繡連衣裙,"logitech 羅技 logitech 羅技 FHD電腦視訊鏡頭, VU0054, 黑色"
視訊鏡頭,"LivingDA 生活大巫師化妝用品包隨機發貨, 10個, 混合顏色","Coms LED 燈 FHD 1080P 廣視角 內置麥克風 網絡攝像頭 AU919, 混色"
視訊鏡頭,"依必朗 男性專用洗面乳 角質淨化, 120g, 5條","Leonix 全高清網絡攝像頭自動對焦攝像機 LEO-FHD1080, 單色"
視訊鏡頭,"生活在海底桌墊下的流行音樂, 15, 42 x 32 厘米, 1件","PENGCA 電腦視訊鏡頭, 400萬像素PCWEB400"
視訊鏡頭,"MERYTHOD 多用途刷具架, 粉色的, 3個","是商城手機攝像頭單鏡30X25角型, 黑色, 1個"
視訊鏡頭,"向記 湖南炸醬, 180g, 5罐","360 000 像素前置攝像頭，帶玻璃鏡頭, 單品"
視訊鏡頭,"Garden in the City 壓克力廚房標誌 13cm x 13cm x T 3mm, 2個, 黑色 (B-35)","logitech 羅技 高清專業網絡攝像頭 C920r, 混合顏色"
視訊鏡頭,"NHJ Milky Glow Mask Pack Shining, 10入, 5個","夾子手機廣角鏡頭 智慧型手機廣角鏡頭 37MM 0.45X 49UV，黑色, 黑色, 1個"
條碼機,.,"miracle USB型條碼掃描機, MQ650-U"
條碼機,.,"SymCode 有線條碼掃描儀2D 1D QR 白色+底座組, 新 S950 PLUS"
條碼機,.,"SymCode 條碼掃描儀2D 1D QR 白色+底座組, 新 S950 PLUS（無線）"
條碼機,.,"SymCode 條碼掃描儀2D 1D QR 黑色+底座組, New S950 PLUS (Wireless)"
條碼機,.,"駐留 UDI 條碼掃描器, BR-2108, 1個"
條碼機,.,"Bcode Happy Max Laser 手持式一維 USB 條碼掃描器 + 專用底座, HT-900"
條碼機,.,"無線一維紅外線條碼掃描器, MJ-2080"
條碼機,.,"Bcode Happy Max 1D USB 條碼掃描器 白色, T-8"
條碼機,.,"ZEBRA 2D 條碼掃描器 + USB 數據線套組 黑色, DS4608-SR"
條碼機,.,"ZEBRA 二維條碼掃描器 + 符號兼容 USB 數據線, DS-2208SR, 1組"
無線開關,"時尚點扣環 30 碼, 49, 1個","4格式開電燈開關 銀色, 4個純白開關"
無線開關,"1cm餅乾奶油穀物棒, 20克, 12個","EZ 智能燈開關 3 爪開關, 1個"
無線開關,"達西的決定：鑑於良好原則第一卷平裝本, 良好原則出版","復古鋁製開關 2開+1開+開關+蓋板, 1套"
無線開關,"HypeBag 女士時尚斜挎包, 淺褐色的","納米電白4部分遙控輕觸開關, 1個"
無線開關,K2 Safety K2 SAFETY 送貨步行步行鞋,"IO智能照明開關2, 1個"
無線開關,"by:OUR V7保濕護髮素, 1入","復古鋁製開關 2開+2開+開關+蓋板, 1套"
無線開關,"ARTMORE 孩童線圈素描本 8入 隨機出貨, 345*248mm, 20張","復古鋁製開關 6開+開關+蓋板, 1套"
無線開關,"MYOLOGIST 夾持器 5~60kg, 高級黑","印花4格式開電燈開關 白色, 1個"
無線開關,[LOTTOSPORT] MULTI Line Police PK T 卹 / IQBM-TSP43_NV 100 NV(NAVY),"納米電黑6芯遙控輕觸開關, 1個"
無線開關,"Popofancy 布丁圓珠筆, 隨機出貨, 5入","2格式開電燈開關, 黑色的"
紙巾架,LOKO 嫵媚盤 10.75',"DM 多用途空間利用紙巾架北歐綠色, 1個"
紙巾架,.,"DM 多用途空間利用紙巾架北歐紫色, 1個"
紙巾架,.,"DM 多用途空間利用紙巾架北歐綠+紫, 1套"
紙巾架,.,"復古防水收納紙巾架 M, 01型, 1個"
紙巾架,.,"復古防水收納紙巾架 M, 3, 1個"
紙巾架,.,"不鏽鋼紙巾架, 單色, 1個"
紙巾架,.,"木架子紙巾架, 混色, 1個"
紙巾架,.,"壁掛式紙巾架, 單色, 1個"
紙巾架,.,"立式紙巾架, 金子, 1個"
紙巾架,.,"現代雙層紙巾架, 黑色的, 1個"
兒童玩具,"高中運動日記黑板設計：（筆記本日記空白書）平裝本, Createspace獨立發布平台","半玩具嬰兒系列嬰兒磁性玩具教具兒童成人玩偶, 河馬"
兒童玩具,"BED&DECO 印花棉麻布, 綠色葉子線條","Toy&Toy新款兒童交通玩具3件套, 混色"
兒童玩具,"布拉德福德和沃特斯家族的回憶精裝本, 槳壓機","孩童醫院遊戲玩具組, 藍色"
兒童玩具,"Deli Stand Document File 12 分類 72511 + Signature Legal Pad A5 5p, 文件(粉紅色)，Legal Pad(白色), 2組","Oz Toys 嬰兒馬拉卡斯樂器玩具 6 件套, 藍色"
兒童玩具,"Lucky Wink Beauty Bangs 髮根捲髮夾 2 件套 ARM-680, 8個","貓咪星星造型互動玩具, 紫色的, 小屋玩具"
兒童玩具,"Clay Nara Paper Country 閃光黏土 6 x 2p 組, 粉色、橙色、黃色、藍色、紫色、白色","音樂企鵝溜滑梯玩具組, 粉紅"
兒童玩具,"Faith in Face TRULY保濕卸妝水, 500ml, 1瓶","嬰兒用可愛巴士唱韓文旋律玩具, 混色"
兒童玩具,"時尚點迷彩指紋面料面料, 1","Playmobil 兒童水晶湖仙子玩具 70555, 1個"
兒童玩具,"JAGUAR 縫紉機, 白色的, 490","fisher-price 費雪 孩童家庭訓練器玩具組, 混色"
兒童玩具,"MomaessokSsokSsok 綜合果汁, 桔梗水梨口味, 100ml, 10入","David Toy 半玩具西洋鏡系列嬰兒磁性玩具教具兒童成人玩偶, 河馬"
負責人,.,"責任與恥辱：作者首選平裝本, 勇士出版集團"
負責人,.,"負責任和永續商業實踐的集體創造力精裝本, 商業科學參考"
負責人,.,"沒有過錯，沒有責備，沒有藉口：負責任地生活精裝本, 西弓出版社"
負責人,.,"攝影機問責：線上影片對警民互動的影響精裝本, LFB學術出版"
負責人,.,"口頭上的服務 - 男人的愚蠢精裝本, 電子書時間有限責任公司"
負責人,.,"斥責無禮：或對一位粗俗的天主教教區居民寫的一封關於無誤論主題的信的答復平裝本, Gale Ecco，印刷版"
負責人,.,"責任管理：企業責任與工作生活平裝本, 施普林格"
負責人,.,"生活習慣/對自己負責-一定要收拾嗎?, 1本"
負責人,.,"負載監聽耳機, NTH-100, 單色"
負責人,.,"現代資產負債表：公司財務分析 - 學者精選版平裝本, 學者的選擇"
邊櫃,.,"HEZRO 抽屜床邊櫃, 淺木色"
邊櫃,.,"JUNBI圓形床頭櫃邊桌, 單色"
邊櫃,.,"Fitism簡約邊桌儲物櫃A型, 棕色"
邊櫃,.,"Fitism簡約邊桌儲物櫃B型, 米色"
邊櫃,.,"Jd Furniture 三層抽屜式邊桌, 白色 棕色"
邊櫃,.,"Jd Furniture 三層抽屜式邊桌, 木質+白色"
邊櫃,.,"At home 方形邊桌中號, 白色"
邊櫃,.,"配對北歐方形單層邊桌, 白色的"
邊櫃,.,"ATOSO 床頭櫃 30-15 + 樺木延伸托盤, 白色（邊桌），木（托盤）"
邊櫃,.,"Jd Furniture 三層抽屜式邊桌, 棕色"
中衛兒童口罩,"JOY MULTI 女童防水圍兜 M號 2件組, 隨機出貨, 1組","CSD 中衛 兒童醫療口罩, 粉色, 50片, 1盒"
中衛兒童口罩,男士黑色101網工7件套休閒短褲FC-2321881,"CSD 中衛 兒童醫療口罩, 粉色, 50片, 3盒"
中衛兒童口罩,"高壓鈉燈 E39150W, 2000K","CSD 中衛 兒童與小臉專用醫療口罩, 藍色, 50片, 2盒"
中衛兒童口罩,"OKI 女款民族拼接印花短袖連身裙, 海軍","令和 平面醫療口罩 兒童款, 海洋藍, 50片, 3盒"
